"","sample","cell_type","set_size","score","value"
"492","T","CD8+ EM T cell","subset","f1",0.951665414475332
"493","T","CD8+ TE T cell","full","precision",0.152361431377573
"494","T","CD8+ TE T cell","full","recall",0.932079414838036
"495","T","CD8+ TE T cell","full","f1",0.261910005138369
"496","T","CD8+ TE T cell","subset","precision",0.982920110192837
"497","T","CD8+ TE T cell","subset","recall",0.932079414838036
"498","T","CD8+ TE T cell","subset","f1",0.956824886028426
"499","T","CD8+ TRM T cell","full","precision",0.175939700485966
"500","T","CD8+ TRM T cell","full","recall",0.979569298729983
"501","T","CD8+ TRM T cell","full","f1",0.298301664704893
"502","T","CD8+ TRM T cell","subset","precision",0.980110497237569
"503","T","CD8+ TRM T cell","subset","recall",0.979569298729983
"504","T","CD8+ TRM T cell","subset","f1",0.979839823253245
"505","T","Double negative T cell","full","precision",0.307354981959478
"506","T","Double negative T cell","full","recall",0.93168433451119
"507","T","Double negative T cell","full","f1",0.462225561399115
"508","T","Double negative T cell","subset","precision",0.977662337662338
"509","T","Double negative T cell","subset","recall",0.941
"510","T","Double negative T cell","subset","f1",0.958980891719745
"511","T","Double positive T cell","full","precision",0.030290594783144
"512","T","Double positive T cell","full","recall",0.919781931464174
"513","T","Double positive T cell","full","f1",0.0586497156904129
"514","T","Double positive T cell","subset","precision",0.848526703499079
"515","T","Double positive T cell","subset","recall",0.9215
"516","T","Double positive T cell","subset","f1",0.883509108341323
"517","T","NK cell","full","precision",0.784855053476573
"518","T","NK cell","full","recall",0.955403485371299
"519","T","NK cell","full","f1",0.861772244599048
"520","T","NK cell","subset","precision",0.979497693490518
"521","T","NK cell","subset","recall",0.9555
"522","T","NK cell","subset","f1",0.967350037965072
"523","T","Naive CD4+ T cell","full","precision",0.527054763958711
"524","T","Naive CD4+ T cell","full","recall",0.936518843490671
"525","T","Naive CD4+ T cell","full","f1",0.67450890817725
"526","T","Naive CD4+ T cell","subset","precision",0.959276018099548
"527","T","Naive CD4+ T cell","subset","recall",0.954
"528","T","Naive CD4+ T cell","subset","f1",0.95663073451993
"529","T","Naive CD8+ T cell","full","precision",0.809535886380928
"530","T","Naive CD8+ T cell","full","recall",0.972190333388
"531","T","Naive CD8+ T cell","full","f1",0.883438717506547
"532","T","Naive CD8+ T cell","subset","precision",0.976535197204194
"533","T","Naive CD8+ T cell","subset","recall",0.978
"534","T","Naive CD8+ T cell","subset","f1",0.977267049712715
"535","T","CD4+ TRM T cell","full","precision",0.221491228070175
"536","T","CD4+ TRM T cell","full","recall",0.996710526315789
"537","T","CD4+ TRM T cell","full","f1",0.36244019138756
"538","T","CD4+ TRM T cell","subset","precision",0.997804610318331
"539","T","CD4+ TRM T cell","subset","recall",0.996710526315789
"540","T","CD4+ TRM T cell","subset","f1",0.997257268239166
"541","T","CD8+ CM T cell","full","precision",0.103981526835071
"542","T","CD8+ CM T cell","full","recall",0.966608846487424
"543","T","CD8+ CM T cell","full","f1",0.187764557228598
"544","T","CD8+ CM T cell","subset","precision",0.929389312977099
"545","T","CD8+ CM T cell","subset","recall",0.974
"546","T","CD8+ CM T cell","subset","f1",0.951171875
"547","U","CD4+ CM T cell","full","precision",0.791529701185502
"548","U","CD4+ CM T cell","full","recall",0.941905362776025
"549","U","CD4+ CM T cell","full","f1",0.860194980294545
"550","U","CD4+ CM T cell","subset","precision",0.928640776699029
"551","U","CD4+ CM T cell","subset","recall",0.9565
"552","U","CD4+ CM T cell","subset","f1",0.942364532019704
"553","U","CD4+ EM T cell","full","precision",0.0867610699033491
"554","U","CD4+ EM T cell","full","recall",0.943765281173594
"555","U","CD4+ EM T cell","full","f1",0.158913132976534
"556","U","CD4+ EM T cell","subset","precision",0.869724770642202
"557","U","CD4+ EM T cell","subset","recall",0.948
"558","U","CD4+ EM T cell","subset","f1",0.907177033492823
"559","U","CD4+ TEMRA","full","precision",0.0254609306409131
"560","U","CD4+ TEMRA","full","recall",0.857988165680473
"561","U","CD4+ TEMRA","full","f1",0.0494542974079127
"562","U","CD4+ TEMRA","subset","precision",0.97972972972973
"563","U","CD4+ TEMRA","subset","recall",0.857988165680473
"564","U","CD4+ TEMRA","subset","f1",0.914826498422713
"565","U","CD8+ EM T cell","full","precision",0.531213345497198
"566","U","CD8+ EM T cell","full","recall",0.931657142857143
"567","U","CD8+ EM T cell","full","f1",0.676626826029216
"568","U","CD8+ EM T cell","subset","precision",0.950279046169457
"569","U","CD8+ EM T cell","subset","recall",0.9365
"570","U","CD8+ EM T cell","subset","f1",0.943339209267187
"571","U","CD8+ TE T cell","full","precision",0.30343300110742
"572","U","CD8+ TE T cell","full","recall",0.947004608294931
"573","U","CD8+ TE T cell","full","f1",0.459603019289908
"574","U","CD8+ TE T cell","subset","precision",0.997572815533981
"575","U","CD8+ TE T cell","subset","recall",0.947004608294931
"576","U","CD8+ TE T cell","subset","f1",0.971631205673759
"577","U","CD8+ TRM T cell","full","precision",0.105703819989534
"578","U","CD8+ TRM T cell","full","recall",0.982968369829684
"579","U","CD8+ TRM T cell","full","f1",0.190881171745807
"580","U","CD8+ TRM T cell","subset","precision",0.992628992628993
"581","U","CD8+ TRM T cell","subset","recall",0.982968369829684
"582","U","CD8+ TRM T cell","subset","f1",0.987775061124694
"583","U","Double negative T cell","full","precision",0.238083164300203
"584","U","Double negative T cell","full","recall",0.962090163934426
"585","U","Double negative T cell","full","f1",0.381707317073171
"586","U","Double negative T cell","subset","precision",0.980167014613779
"587","U","Double negative T cell","subset","recall",0.962090163934426
"588","U","Double negative T cell","subset","f1",0.971044467425026
"589","U","Double positive T cell","full","precision",0.253401797175866
"590","U","Double positive T cell","full","recall",0.941793893129771
"591","U","Double positive T cell","full","f1",0.399352619866478
"592","U","Double positive T cell","subset","precision",0.988977955911824
"593","U","Double positive T cell","subset","recall",0.941793893129771
"594","U","Double positive T cell","subset","f1",0.964809384164223
"595","U","NK cell","full","precision",0.784486373165618
"596","U","NK cell","full","recall",0.943995963673057
"597","U","NK cell","full","f1",0.856881154110373
"598","U","NK cell","subset","precision",0.992134242265338
"599","U","NK cell","subset","recall",0.946
"600","U","NK cell","subset","f1",0.968518044535449
"601","U","Naive CD4+ T cell","full","precision",0.61878453038674
"602","U","Naive CD4+ T cell","full","recall",0.937653144568473
"603","U","Naive CD4+ T cell","full","f1",0.745555405222568
"604","U","Naive CD4+ T cell","subset","precision",0.950223992035839
"605","U","Naive CD4+ T cell","subset","recall",0.9545
"606","U","Naive CD4+ T cell","subset","f1",0.952357196308306
"607","U","Naive CD8+ T cell","full","precision",0.782073380940655
"608","U","Naive CD8+ T cell","full","recall",0.981231173244767
"609","U","Naive CD8+ T cell","full","f1",0.87040526189579
"610","U","Naive CD8+ T cell","subset","precision",0.983016983016983
"611","U","Naive CD8+ T cell","subset","recall",0.984
"612","U","Naive CD8+ T cell","subset","f1",0.983508245877061
"613","U","CD4+ TRM T cell","full","precision",0.261377174172028
"614","U","CD4+ TRM T cell","full","recall",0.990072202166065
"615","U","CD4+ TRM T cell","full","f1",0.413572101790763
"616","U","CD4+ TRM T cell","subset","precision",0.983856502242152
"617","U","CD4+ TRM T cell","subset","recall",0.990072202166065
"618","U","CD4+ TRM T cell","subset","f1",0.986954565901934
"619","U","CD8+ CM T cell","full","precision",0.153298204527713
"620","U","CD8+ CM T cell","full","recall",0.977598008711886
"621","U","CD8+ CM T cell","full","f1",0.265035849852383
"622","U","CD8+ CM T cell","subset","precision",0.949244712990937
"623","U","CD8+ CM T cell","subset","recall",0.977598008711886
"624","U","CD8+ CM T cell","subset","f1",0.963212752912324
